# id, cityname, citycode, airportname, airportcode
9097,Tanacross,TSG,Tanacross,TSG
9098,Tanah Grogot,TNB,Tanah Grogot,TNB
9099,Tanahmerah,TMH,Tanahmerah,TMH
9100,Tanana,TAL,Ralph M. Calhoun Mem.,TAL
9101,Tanandava,TDV,Samangoky,TDV
9102,Tanbar,TXR,Tanbar,TXR
9103,Tandag,TDG,Tandag,TDG
9104,Tandil,TDL,Tandil,TDL
9105,Tanegashima,TNE,Tanegashima,TNE
9106,Tanga,TGT,Tanga,TGT
9107,Tangalooma,TAN,Tangalooma,TAN
9108,Tangara da Serra,TGQ,Tangara da Serra,TGQ
9109,Tangier,TNG,Ibn Batouta,TNG
9110,Tangshan,TVS,Sannuhe,TVS
9111,Tanjung Balai,TJB,Sei Bati,TJB
9112,Tanjung Manis,TGC,Tanjung Manis,TGC
9113,Tanjung Pandan,TJQ,H.A.S. Hanandjoeddin,TJQ
9114,Tanjung Pinang,TNJ,Raja Haji Fisabilillah,TNJ
